,_id,w_date,w_weight,w_fat,w_exer,w_drunk,w_val_a,w_val_b,w_val_c,w_check_a,w_check_b,w_check_c,w_memo
64,65,2018-11-15,0,0,false,false,0,0,0,false,false,false,
65,66,2018-11-16,8650,0,false,false,0,0,0,false,false,false,
66,67,2018-11-17,8540,0,false,false,0,0,0,false,false,false,
67,68,2018-11-18,8620,0,false,false,0,0,0,false,false,false,
68,69,2018-11-22,8630,0,false,false,0,0,0,false,false,false,
69,70,2018-11-21,0,0,false,false,0,0,0,false,false,false,
70,71,2018-11-20,0,0,false,false,0,0,0,false,false,false,
71,72,2018-11-19,0,0,false,false,0,0,0,false,false,false,
72,73,2018-11-24,8420,0,false,false,0,0,0,false,false,false,
73,74,2018-11-23,0,0,false,false,0,0,0,false,false,false,
74,75,2018-11-25,0,0,false,false,0,0,0,false,false,false,
75,76,2018-11-26,8470,0,false,false,0,0,0,false,false,false,
76,77,2018-11-27,8370,0,false,false,0,0,0,false,false,false,
77,78,2018-11-28,8420,0,false,false,0,0,0,false,false,false,
78,79,2018-11-30,8550,0,false,false,0,0,0,false,false,false,
79,80,2018-11-29,0,0,false,false,0,0,0,false,false,false,
80,81,2018-12-01,0,0,false,false,0,0,0,false,false,false,
81,82,2018-12-04,8560,0,false,false,0,0,0,false,false,false,
82,83,2018-12-03,8650,0,false,false,0,0,0,false,false,false,
83,84,2018-12-02,0,0,false,false,0,0,0,false,false,false,
84,85,2018-12-05,8480,0,false,false,0,0,0,false,false,false,
85,86,2018-12-08,8610,0,false,false,0,0,0,false,false,false,
86,87,2018-12-07,0,0,false,false,0,0,0,false,false,false,
87,88,2018-12-06,0,0,false,false,0,0,0,false,false,false,
88,89,2018-12-10,8700,0,false,false,0,0,0,false,false,false,
89,90,2018-12-09,0,0,false,false,0,0,0,false,false,false,
90,91,2018-12-11,8510,0,false,false,0,0,0,false,false,false,
91,92,2018-12-14,0,0,false,false,0,0,0,false,false,false,
92,93,2018-12-13,0,0,false,false,0,0,0,false,false,false,
93,94,2018-12-12,0,0,false,false,0,0,0,false,false,false,
94,95,2018-12-16,0,0,false,false,0,0,0,false,false,false,
95,96,2018-12-15,0,0,false,false,0,0,0,false,false,false,
96,97,2018-12-17,0,0,false,false,0,0,0,false,false,false,
97,98,2018-12-18,8700,0,false,false,0,0,0,false,false,false,
98,99,2018-12-19,8650,0,false,false,0,0,0,false,false,false,
99,100,2018-12-20,8610,0,false,false,0,0,0,false,false,false,
100,101,2018-12-21,8500,0,false,false,0,0,0,false,false,false,
101,102,2018-12-26,8640,0,false,false,0,0,0,false,false,false,
102,103,2018-12-25,8720,0,false,false,0,0,0,false,false,false,
103,104,2018-12-24,0,0,false,false,0,0,0,false,false,false,
104,105,2018-12-23,0,0,false,false,0,0,0,false,false,false,
